#,phrase,label,sentiment
94,tape voisin chambre cesse faire bruit priver sommeil,0,frustration
95,équipe sportif favorite venir perdre final,0,frustration
96,bout professeur venir note injuste travail acharner,0,frustration
97,passer heure assembler meuble manqu pièce essentiel,0,frustration
98,téléphone portable cesse figer redémarrer prévenir,0,frustration
99,bord crise compagnon voyage oublier passeport maison sommes bloquer,0,frustration
100,poiss vien perdre carte argent,0,frustration
101,rien passer veux,0,frustration
102,vraiment cerise touch transform catastrophe,0,frustration
103,bout rien déroul prévoir,0,frustration
104,tape mond autour vie tandis coincer impasse,0,frustration
105,poiss fois sortir retrouve bourbier profond,0,frustration
106,bord rien dérouler,0,frustration
107,foutre donne jamais résultat escompter,0,frustration
108,bout effort vain,0,frustration
109,vraiment frustrer sens tourn rond jamais trouver sortie labyrinthe fin,0,frustration
110,dépasser bouscul vie parvien trouver équilibre stable,0,frustration
111,galérer jour apporter lot complication déception,0,frustration
112,bord crise rien passer planifier,0,frustration
113,mettre prendre tourbillon malchance,0,frustration
114,transforme fiasco,0,frustration
115,vraiment goutte déborder sens impuisser face circonstance rendre fou,0,frustration
116,frustrer haut attente constamment déçu,0,frustration
117,rien passer imaginer,0,frustration
118,bout solde échec cuisant,0,frustration
119,taper tête contre poisson prendre issu,0,frustration
120,donne envie envoyer ramer jamais pouvoir atteindre riv,0,frustration
121,bout jour apporter lot déception désillusion,0,frustration
122,transforme échec cuisant,0,frustration
123,rien passer souhait,0,frustration
124,acteur joue pièce scénario cesse déformer,0,frustration
125,bout touch transform catastrophe,0,frustration
126,taper tête contre lion impuisser face propre frustration,0,frustration
127,foutre marcher jamais trouver stabilité solide,0,frustration
128,bord crise rien dérouler espérer,0,frustration
129,vraiment frustrer comédien joue pièce jamais pouvoir trouver dénouement,0,frustration
130,dépasser bouscul vie sen complètement submerger,0,frustration
131,mettre funambul marche cord jamais pouvoir trouver,0,frustration
132,vraiment goutte déborder acteur joue pièce jamais pouvoir atteindre fin spectacle,0,frustration
133,frustrer haut dérob pied,0,frustration
134,funambul marche cord prêt chuter moment,0,frustration
135,taper tête contre funambule marche fil jamais pouvoir trouver,0,frustration
136,donne envie envoyer funambul marche cord jamais pouvoir trouver stabilité,0,frustration
137,bout dérob pied,0,frustration
138,bouscule vie sen complètement submerger,0,frustration
139,dérob pied,0,frustration
140,bout solde échec cuisant,0,frustration
141,taper tête contre dérouler travers,0,frustration
142,foutre dérob pied,0,frustration
143,vraiment goutte déborder dérouler manière chaotique,0,frustration
144,dérob pied,0,frustration
145,saoul part vrill,0,frustration
146,vraiment nerf rien passer veux,0,frustration
147,tuil finir casser figurer,0,frustration
148,rien déroul espérer,0,frustration
149,ras transforme désastr,0,frustration
150,vraiment comble situation tourn vinaigr,0,frustration
151,boule savoir rien déroul souhait,0,frustration
152,foutre part cacahuète,0,frustration
153,solde échec cuisant,0,frustration
154,vraiment quintessence dérob pied,0,frustration
155,nerf fleur rien passer prévoir,0,frustration
156,tape part vrill,0,frustration
157,solde échec retentir,0,frustration
158,dérouler travers,0,frustration
159,rage rien passer souhait,0,frustration
160,mettre part vrill,0,frustration
161,solde échec cuisant,0,frustration
162,vraiment comble dérouler,0,frustration
163,rage mont rien passer prévoir,0,frustration
164,foutre part sucette,0,frustration
165,marre transform fiasco,0,frustration
166,vraiment summum dérouler manière chaotique,0,frustration
167,nerf part cacahuète,0,frustration
168,foutre dérouler travers,0,frustration
169,rage mont rien passer souhait,0,frustration
170,rer part vrill,0,frustration
171,tape dérouler manière chaotique,0,frustration
172,glande sold échec cuisant,0,frustration
173,dérouler morceal,0,frustration
174,nerf part vrill,0,frustration
175,marre bout rien passer prévoir,0,frustration
176,vraiment cerise dérouler,0,frustration
177,nerf sold échec cuisant,0,frustration
178,foutre part vrill,0,frustration
179,rage mont rien passer souhait,0,frustration
180,rer part vrill,0,frustration
181,foutre dérouler manière chaotique,0,frustration
182,nerf sold échec cuisant,0,frustration
183,glande part vrill,0,frustration
184,marre dérob pied,0,frustration
185,vraiment comble dérouler,0,frustration
186,nerf sold échec cuisant,0,frustration
187,rage rien passer souhait,0,frustration
188,galère rien passer prévoir,0,frustration
189,marre foirer faire chose échec cuisant,0,frustration
190,ras bol contretemps répétition,0,frustration
191,rien pire sensation tourner rond,0,frustration
192,vraiment goutte déborder vase,0,frustration
193,frustrer haut point,0,frustration
194,série malchance dingue,0,frustration
195,marre poiss partout,0,frustration
196,foutre boule voir effort réduire néer,0,frustration
197,marre rever incessant,0,frustration
198,rien frustrer sentir bloquer impasse,0,frustration
199,situation exaspérant,0,frustration
200,bord crise nerf,0,frustration
201,marre retard incessant,0,frustration
202,frustrer pouvoir exprimer pleinement potentiel,0,frustration
203,galérer jour apporter lot déception désillusion,0,frustration
204,mettre voir effort anéantir,0,frustration
205,ras pompon séri malchance,0,frustration
206,marre rever répétition,0,frustration
207,rien pire sensation stagner,0,frustration
208,exaspéré séri déconvenue,0,frustration
209,marre guign partout,0,frustration
210,obstacle chemin,0,frustration
211,marre échec répétition,0,frustration
212,galérer foi pire jamais,0,frustration
213,série malchance mettre,0,frustration
214,marre contretemp incessant,0,frustration
215,ras bol poiss coll peau,0,frustration
216,rien pire sensation prendre pièg,0,frustration
217,marre échec,0,frustration
218,série déception dingue,0,frustration
219,série malchance,0,frustration
220,marre rever incessant,0,frustration
221,galère vie contre,0,frustration
222,marre coup sort,0,frustration
223,rien frustrer sentir prendre spiral négatif,0,frustration
224,marre obstacle dresser rout,0,frustration
225,ras pompon séri déconvenue,0,frustration
226,marre malchance poursuivre,0,frustration
227,rever constant,0,frustration
228,série déception mettre nerf boul,0,frustration
229,marre rever fortun,0,frustration
230,rien frustrer voir effort réduire néer,0,frustration
231,marre obstacle insurmontable,0,frustration
232,ras bol série déboire,0,frustration
233,succession malchance fou,0,frustration
234,marre séri contretemps,0,frustration
235,retard sérieusement donne envier jeter,0,frustration
236,bout rien passer prévoir,0,frustration
237,incroyable point devenir compliquer,0,frustration
238,paperasse interminable,0,frustration
239,vie don mettre bâton roue,0,frustration
240,sensation prendre tourner rond pouvoir sortir étouffer,0,frustration
241,attente démesurer exigence impossible mettre rogner,0,frustration
242,funambul cord jongler responsabilité jamais pouvoir trouver,0,frustration
243,promesse non espoir mettre,0,frustration
244,pression échéance rapprocher grand épé damoclè tête,0,frustration
245,frustration voir réussir facilement impossible,0,frustration
246,poisson bocal trop espace grandir,0,frustration
247,relation toxique drainer sentir incompris fatiguer devoir composer,0,frustration
248,routine sensation vivre journée donne envie crier,0,frustration
249,rêve objectif frustrer voir aspiration rester lettre mort,0,frustration
250,compétition devoir constamment surpasser fou,0,frustration
251,perte temps tâche avancer tape nerf,0,frustration
252,échec erreur tournai rond cercle vicieux,0,frustration
253,solitud soutien donne envie hurler,0,frustration
254,attente démesurer peur paralys,0,frustration
255,routine nouveauté donne sensation,0,frustration
256,critique jugement tap nerf,0,frustration
257,procrastination fou,0,frustration
258,opportunité porter ferment chanc fuir,0,frustration
259,lenteur piétiner mettre,0,frustration
260,marre embûche destin,0,frustration
261,plan tombent projet tap nerf,0,frustration
262,goutte déborder contrariéter,0,frustration
263,déception monde entier conspirer contre,0,frustration
264,frustration mont volcan prêt entrer éruption,0,frustration
265,véritable solution engendrer nouveau problème,0,frustration
266,désillusion coup poignard do,0,frustration
267,faux parole donne envie hurler colèr,0,frustration
268,échec répéter écho douloureux tête,0,frustration
269,véritable cauchemar rien passer imaginer,0,frustration
270,porte ferment destin décider jouer mauvais tour,0,frustration
271,obstacle chemin dressent géant infranchissable,0,frustration
272,délai retard donne coincé spiral infernal,0,frustration
273,sort suivre arrière,0,frustration
274,frustration grandir brais ardente,0,frustration
275,promesse non espoir lame transperce cœur,0,frustration
276,véritable chemin étape défi surmonter,0,frustration
277,attente non désir donne envie rugir frustration,0,frustration
278,véritable labyrinthe choix mener impasse,0,frustration
279,promesse vide illusion mond moquer,0,frustration
280,véritable combat david contre face obstacle gigantesque,0,frustration
281,rêve ambition donne enchaîner,0,frustration
282,mélodie dissonant résonner frustration constant,0,frustration
283,rencontre opportunité passer danse temps décaler,0,frustration
284,véritable parcour obstacle chemin défi relever,0,frustration
285,bug informatique mettre affaire logiciel langue étranger,0,frustration
286,donne fond projet reconnaître crier désert,0,frustration
287,fil caiss supermarcher finit frustration,0,frustration
288,pile vaissell sale cesser vaissell multiplier,0,frustration
289,préparer délicieux repas monde mettre critiquer choix envier envoyer paître,0,frustration
290,embouteillage circulation mode paus,0,frustration
291,passe heure écrir message parfaitement formuler répondre simple donne envie jeter téléphoner fenêtre,0,frustration
292,serrure récalcitrant perdre temps moquer,0,frustration
293,passer heure chercher cler retrouve poch sens foi soulager frustrer propre distraction,0,frustration
294,panne moment crucial destin moquer,0,frustration
295,courbature clouer lit séance sport corps dire penser forme prend physique,0,frustration
296,prendre photo parfait passer dernier envie crier photographique,0,frustration
297,file interminable guichet temps,0,frustration
298,prépare délicieux café renverse tass pouvoir karma jouer mauvais tour,0,frustration
299,mot bout mémoir taquiner,0,frustration
300,lève tôt éviter embouteillage rend compte être destin dire bien essayer planification,0,frustration
301,discussion tourner rond jamais aboutir coincer cercle infernal,0,frustration
302,ouvre frigo trouver chose manger rend compte sen trahir propre réserve alimentaire,0,frustration
303,problème connexion internet moment crucial appel monde entier faire doigt numérique,0,frustration
304,perdre chemin technologie train trahir,0,frustration
305,fil supermarché interminable presser temps perdre,0,frustration
306,vien manquer train seconder devoir attendre heure rentrer,0,frustration
307,ordinateur plant besoin terminer projet important vraiment frustrant,0,frustration
308,comprend respecter règle distanciation social,0,frustration
309,travaillé dur diapositive correctement rien passer prévoir,0,frustration
310,coincer embouteillage éternité autant trafic,0,frustration
311,service client compagnie déplorable contacter répondre,0,frustration
312,voisin bruit nuit dormir,0,frustration
313,vien recevoir factur erroner,0,frustration
314,fatiguer faire corver ménager,0,frustration
315,transport commun retard,0,frustration
316,déçu être retenir post,0,frustration
317,mobile plant constamment,0,frustration
318,perdu cler enfermer,0,frustration
319,sens travail,0,frustration
320,colis être livrer mauvais adresse,0,frustration
321,vien rater bus seconde retard,0,frustration
322,wifi fonctionner foi,0,frustration
323,restaurant annuler réservation dernier minute,0,frustration
324,fatiguer retard vol,0,frustration
325,essayer monter meuble instruction confus perdre,0,frustration
326,épuiser contacter fournisseur internet,0,frustration
327,égarer portefeuille devoir annuler carte crédit,0,frustration
328,décevoir être inviter fêt,0,frustration
329,comprend connexion internet lente,0,frustration
330,marre retrouver coincer embouteillage,0,frustration
331,incroyable point service client entreprise médiocre,0,frustration
332,rien passer prévoir,0,frustration
333,fatiguer voir erreur répéter,0,frustration
334,retard vol devenir habitude vraiment agacer jamais arriver,0,frustration
335,croire poindre programm informatique buggé,0,frustration
336,lenteur réseau internet exaspérant,0,frustration
337,perdre temps réunion aucun décision concret,0,frustration
338,difficile remboursement produit défectueux injuste frustrant,0,frustration
339,file interminable supermarché vraiment pénible,0,frustration
340,déçu être choisir opportunité,0,frustration
341,erreur répéter rapport simplement inacceptable,0,frustration
342,panne fréquent région rendre fou,0,frustration
343,sens frustrer manqu reconnaissance contribution,0,frustration
344,problème technique appareil,0,frustration
345,erreur livraison colis devenir fréquent,0,frustration
346,énerver manqu respect réseal social,0,frustration
347,mauvais organisation événement mettre,0,frustration
348,déçu être écouter réunion,0,frustration
349,facture incorrect continuer haut point,0,frustration
350,marre retard cause transport commun respecter horaire,0,frustration
351,erreur facturation récurrent compagnie téléphonique épuisante,0,frustration
352,surcharg travail constant épuisant frustrant,0,frustration
353,exaspéré problème récurrent connexion sit web,0,frustration
354,frustrer devoir répéter information personne,0,frustration
355,fatiguer devoir répéter chose,0,frustration
356,long file guichet rendre fou,0,frustration
357,supporte interruption constant connexion internet,0,frustration
358,retard transport commun véritable cauchemar,0,frustration
359,marre situation,0,frustration
360,erreur répéter rapport mettre,0,frustration
361,frustrer manqu communication clair préciser,0,frustration
362,imprévu dernier minute vraiment agaçant,0,frustration
363,problème technique site web vraiment irritant,0,frustration
364,exaspérer manqu service,0,frustration
365,délai impossible respecter mettre situation stres permanent,0,frustration
366,frustrer décision,0,frustration
367,problème récurrent appareil perdre patience,0,frustration
368,marre routine monotone,0,frustration
369,erreur livraison colis cesser reproduir,0,frustration
370,déçu négligent collègue,0,frustration
371,problème compatibilité logiciel rendre fou,0,frustration
372,frustrer manqu soutien supérieur,0,frustration
373,contraindre temp trop serrer vraiment frustrant,0,frustration
374,exaspéré manqu fiabilité application,0,frustration
375,résultat décevant effort douter capacité,0,frustration
376,changement dernier minute plan désorienter complètement,0,frustration
377,fatiguer excuse constante entreprendre,0,frustration
378,demande incessant réunion perdre temps précieux,0,frustration
379,frustrer panne fréquent ordinateur,0,frustration
380,mettre respecter file,0,frustration
381,déçu résultat décevant effort,0,frustration
382,retard incessant transport commun vraiment énervant,0,frustration
383,frustrer devoir attendre réponse tardif important,0,frustration
384,marre interruption constant moment concentration,0,frustration
385,erreur récurrent facturation fournisseur perdre patience,0,frustration
386,frustrer manqu ider sein,0,frustration
387,problème technique incessant sit web,0,frustration
388,fatiguer bureaucratie excessif ralentit processus,0,frustration
389,résultat incohérent étude décevant,0,frustration
390,retard livraison colis,0,frustration
391,excuse répéter entreprise erreur devenir lassanter,0,frustration
392,frustrer manqu progression carrièr,0,frustration
393,erreur fréquent rapport rendre fou,0,frustration
394,déçu être prendre compte décision important,0,frustration
395,délai impossible mettre situation stress conster,0,frustration
396,information contradictoire servic client rendre fou,0,frustration
397,exaspéré changement constant plan,0,frustration
398,imprévu dernier minute mettre colèr,0,frustration
399,frustrer manqu transparence entreprendre,0,frustration
400,interruption incessant appel téléphonique rendre fou,0,frustration
401,marre réunion mener rien,0,frustration
402,erreur saisie fréquent site web vraiment agaçant,0,frustration
403,déçu manqu support équipe,0,frustration
404,franchement exaspérer retard train constant,0,frustration
405,fou voir point servic client inefficace,0,frustration
406,vraiment énerver aller travers,0,frustration
407,problème technique cesser surgir,0,frustration
408,erreur répéter document franchement agaçant,0,frustration
409,bout nerf connexion internet cesser déconnecter,0,frustration
410,désespérer face entreprise,0,frustration
411,vraiment frustrer constater point chose dérouler jamais prévoir,0,frustration
412,décevoir voir point société traire client méprendre,0,frustration
413,délai impossible rendre dingue,0,frustration
414,frustrer obtenir réponse besoin,0,frustration
415,vraiment pénible voir erreur éviter,0,frustration
416,bout patience situation,0,frustration
417,mettre constater point collègue manquer professionnalisme,0,frustration
418,décevoir voir point ider systématiquement ignorer,0,frustration
419,vraiment irriter faire face erreur livraison récurrent,0,frustration
420,fatiguer attitude négligent part personne,0,frustration
421,changement dernier minute plan mettre,0,frustration
422,frustrer constater point entreprise manqu transparence,0,frustration
423,fou voir point décision prendre compte personne concerner,0,frustration
424,marre surcharg travail constant,0,frustration
425,vraiment agacer politique remboursement compliqué,0,frustration
426,vraiment décevant constater effort reconnaître valeur,0,frustration
427,frustrer culture procrastination règn sein,0,frustration
428,dingue voir point personne insensible besoin,0,frustration
429,demander maudit,0,frustration
430,croire voiture donner mot fou,0,frustration
431,frustrer pleurer,0,frustration
432,demander gentiment baisser prendre malin plaisir provoquer,0,frustration
433,incompétent,0,frustration
434,demande,0,frustration
435,passer simple appel tourn cauchemar,0,frustration
436,demander compagnie aérien soucier vraiment passager,0,frustration
437,vraiment don gâcher effort,0,frustration
438,commencer penser aimer faire attendre horrible salle,0,frustration
439,doigt résilier contrat,0,frustration
440,travail perdu méandre cyberespac,0,frustration
441,vraiment besoin espac travail tranquille,0,frustration
442,poiss poursuivre,0,frustration
443,sûr journée continuer dégénérer,0,frustration
444,envoyer simple e-mail,0,frustration
445,garderie bureau professionnel,0,frustration
446,service livraison lenteur exaspérant,0,frustration
447,croire temps remplacer vélo,0,frustration
448,donne bon impression,0,frustration
449,consoler regarder faire saillant,0,frustration
450,vacance attendre gâcher,0,frustration
451,pann chance,0,frustration
452,demande technologie moderne vraiment bénédiction malédiction,0,frustration
453,commencer douter compétence professionnel,0,frustration
454,travail rien,0,frustration
455,sens prendre pièg,0,frustration
456,demande pouvoir magique disparaître endroit improbable,0,frustration
457,vraiment pâtisserie,0,frustration
458,penser reposer,0,frustration
459,sens ignorer,0,frustration
460,demande hérité sens défectueux,0,frustration
461,demande destin contre,0,frustration
462,métabolisme véritable farce,0,frustration
463,savoir faire faire comprendre jouet,0,frustration
464,doigt désordre,0,frustration
465,retrouve nourriture gâter aucun solution remplacement,0,frustration
466,fatiguer passer dindon farce,0,frustration
467,devoir supporter coupe cheveux rater,0,frustration
468,terminer simple projet joue tour,0,frustration
469,sens trahir arnaquer,0,frustration
470,reposer paix,0,frustration
471,exprimer point frustrer désillusionner,0,frustration
472,demande dent contre,0,frustration
473,demande fabricant exprès tester patience,0,frustration
474,sûr vie propre cherche fou,0,frustration
475,point frustration,0,frustration
476,café calmer,0,frustration
477,croire malchance coll peau,0,frustration
478,supporter séri malheur,0,frustration
479,hamster jamais avancer,0,frustration
480,destin contre,0,frustration
481,décourager pleurer,0,frustration
482,funambul marche fil prêt chuter moment,0,frustration
483,épuiser devoir affronter constamment nouveau obstacle,0,frustration
484,destin prendre malin plaisir contrarier,0,frustration
485,piégé spiral infernal,0,frustration
486,courir ombre,0,frustration
487,demande maudire monde entier contre,0,frustration
488,funambul marche fil tendre précipice,0,frustration
489,fatiguer battre contre moulin vent,0,frustration
490,bout limite,0,frustration
491,oiseau incapable prendre envol,0,frustration
492,heurter mur invisible fois,0,frustration
493,funambule fil prêt chuter moment,0,frustration
494,supporter farce fin,0,frustration
495,navigateur perdu pleine repère direction,0,frustration
496,supporter impasse,0,frustration
497,épuiser devoir jongler,0,frustration
498,funambule fil prêt basculer moment,0,frustration
499,capitaine barr navir pleine tempête,0,frustration
500,épuiser devoir lutter contre,0,frustration
501,acrobate réaliser finir chuter,0,frustration
502,funambul marche cord jamais pouvoir trouver stabilité,0,frustration
503,supporter pression constant,0,frustration
504,jongleur jongler couteal jamais pouvoir éviter blessure,0,frustration
505,fatiguer devoir constamment lutter,0,frustration
506,bout force,0,frustration
507,funambul marche cord prêt chuter moment,0,frustration
508,funambul marche cord jamais pouvoir trouver,0,frustration
509,funambul marche fil jamais pouvoir trouver,0,frustration
510,funambul marche cord prêt chuter moment,0,frustration
511,acteur joue pièce jamais pouvoir trouver fin,0,frustration
512,marre galère demander sort,0,frustration
513,impasse poisson coincer filet,0,frustration
514,doigt péter vraiment,0,frustration
515,sens funambule équilibre précaire cord raide,0,frustration
516,malédiction planer bout souffl,0,frustration
517,sens équilibrist corde issu,0,frustration
518,funambul équilibre prêt chuter moment,0,frustration
519,galère funambul corde filet sécurité,0,frustration
520,acrobate tombe jamais réussir atterrir correctement,0,frustration
521,funambul corde point solide,0,frustration
522,funambul marche charbon pouvoir trouver stabilité,0,frustration
523,funambul marche cord pouvoir trouver,0,frustration
524,funambul marche jamais pouvoir avancer sereinement,0,frustration
525,funambul cord jamais pouvoir trouver quiétude,0,frustration
526,funambul équilibre prêt chuter moment,0,frustration
527,funambule fil pouvoir trouver parfaire,0,frustration
528,funambul marche charbon pouvoir trouver sérénité,0,frustration
529,funambul cord pouvoir trouver stabilité nécessaire,0,frustration
530,funambul marche jamais pouvoir trouver quiétude,0,frustration
531,funambul marche pouvoir trouver tranquillité,0,frustration
532,acrobate tombe jamais pouvoir relever dignement,0,frustration
533,funambule fil pouvoir trouver sérénité,0,frustration
534,funambule fil pouvoir trouver stabilité nécessaire,0,frustration
535,funambul marche pouvoir trouver quiétude absolu,0,frustration
536,funambul cord pouvoir trouver stabilité,0,frustration
537,funambul cord pouvoir trouver tranquillité,0,frustration
538,funambul marche charbon jamais pouvoir trouver paix intérieure,0,frustration
539,funambul marche fil pouvoir trouver stabilité parfait,0,frustration
540,funambul marche cord pouvoir trouver parfaire,0,frustration
541,funambul marche charbon jamais pouvoir trouver quiétude,0,frustration
542,funambul cord pouvoir trouver sérénité nécessaire,0,frustration
543,acrobate tombe pouvoir relever fièrement,0,frustration
544,funambul marche pouvoir trouver sérénité absolu,0,frustration
545,funambule fil pouvoir trouver quiétude absolu,0,frustration
546,funambul marche fil pouvoir trouver parfaire,0,frustration
547,funambul marche pouvoir trouver sérénité nécessaire,0,frustration
548,acrobate tombe pouvoir relever grâce,0,frustration
549,maudire,0,frustration
550,taper tête contre mur,0,frustration
551,fois contraire produit,0,frustration
552,coincé incapable,0,frustration
553,rien fonctionner,0,frustration
554,obstacle cesser dresser chemin,0,frustration
555,jour apporter lot déception,0,frustration
556,touch transform catastrophe,0,frustration
557,suivre arrière,0,frustration
558,monde entier conspir contre,0,frustration
559,bat atteindre obstacle insurmontable,0,frustration
560,vie contrarier,0,frustration
561,fois planifier chose mettre travers chemin,0,frustration
562,circonstance jamais favorable tourner rond,0,frustration
563,épuiser devoir constamment lutter contre obstacle,0,frustration
564,demande chose tourner faveur,0,frustration
565,garder difficile,0,frustration
566,sens coincer perspectif,0,frustration
567,marcher jamais pouvoir avancer sereinement,0,frustration
568,demander malédiction têt,0,frustration
569,veux mettre travers route,0,frustration
570,tourner rond jamais trouver solution,0,frustration
571,fatiguer relever,0,frustration
572,marre battr contre vent contraire,0,frustration
573,marcher charbon pouvoir trouver répit,0,frustration
574,finir tomber,0,frustration
575,oiseau pouvoir nouveau horizon,0,frustration
576,courir jamais pouvoir,0,frustration
577,tourner pouvoir sortir impasse,0,frustration
578,fois pire jamais,0,frustration
579,battre contre moulin jamais pouvoir remporter victoire,0,frustration
580,bout vraiment frustrer,0,frustration
581,rester difficile,0,frustration
582,marcher pouvoir trouver stabilité,0,frustration
583,destin contre,0,frustration
584,prendre tourbillon pouvoir sortir,0,frustration
585,bat finit,0,frustration
586,coincer pouvoir avancer,0,frustration
587,veux jour apporter lot déception,0,frustration
588,garder tête difficile,0,frustration
589,battre contre moulin jamais pouvoir atteindre objectif,0,frustration
590,demande chose faveur,0,frustration
591,funambul marche fil jamais pouvoir trouver stabilité,0,frustration
592,bat jamais résultat escompter,0,frustration
593,veux suivre arrière,0,frustration
594,garder difficile,0,frustration
595,marre courir épuiser,0,frustration
596,problème technique doigt péter câbl,0,frustration
597,petit tâche transforme montagn gravir,0,frustration
598,vrai,0,frustration
599,fois chose venir chambouler,0,frustration
600,las monotonie frustrant,0,frustration
601,fatiguer devoir constamment prouver valeur,0,frustration
602,épuisant,0,frustration
603,décevoir voir point mot vide sens,0,frustration
604,bout nerf,0,frustration
605,demande dur,0,frustration
606,stagnation frustr haut point,0,frustration
607,veux sortir monotonie frustrant,0,frustration
608,besoin souffl,0,frustration
609,épuiser course fin,0,frustration
610,veux vraie progression,0,frustration
611,frustrer apprendre leçon,0,frustration
612,besoin épaul,0,frustration
613,frustrer pouvoir simplement,0,frustration
614,besoin monotonie frustrant,0,frustration
615,fatiguer devoir justifier remettre question,0,frustration
616,frustrer voir projet stagner cause propre inertie,0,frustration
617,déçu saisir part bonheur,0,frustration
618,veux avancer grand petit,0,frustration
619,donne envie lâcher partir loin,0,frustration
620,tourner rond cercle vicieux,0,frustration
621,bord prêt envoyer valser,0,frustration
622,fatiguer battre contre moulin jamais voir bout tunnel,0,frustration
623,noyer océan bouer sauvetage,0,frustration
624,prendre tourbillon échappatoir,0,frustration
625,las devoir constamment prendre piège propre attente,0,frustration
626,veux action mot vide sens,0,frustration
627,bout refuser frustration grandissant,0,frustration
628,prendre pièg réalité échappatoir vue,0,frustration
629,frustrer voir opportunité dissiper,0,frustration
